snr_db,cnn2_accuracy,cnn4_accuracy,delta_cnn4_minus_cnn2
-20,0.095090909090909,0.0916363636363636,-0.0034545454545454046
-18,0.0945454545454545,0.0945454545454545,0.0
-16,0.0963636363636363,0.0974545454545454,0.0010909090909091007
-14,0.1061818181818181,0.1161818181818181,0.009999999999999995
-12,0.1292727272727272,0.1656363636363636,0.036363636363636404
-10,0.2325454545454545,0.2356363636363636,0.0030909090909090886
-8,0.3816363636363636,0.3325454545454545,-0.04909090909090913
-6,0.5538181818181818,0.4483636363636363,-0.10545454545454547
-4,0.6472727272727272,0.544,-0.10327272727272718
-2,0.7163636363636363,0.6538181818181819,-0.06254545454545446
0,0.7567272727272727,0.7376363636363636,-0.019090909090909047
2,0.7745454545454545,0.7674545454545455,-0.007090909090909037
4,0.7672727272727272,0.7830909090909091,0.015818181818181842
6,0.7794545454545454,0.7949090909090909,0.015454545454545499
8,0.7767272727272727,0.7954545454545454,0.018727272727272704
10,0.7818181818181819,0.7912727272727272,0.009454545454545382
12,0.7698181818181818,0.8001818181818182,0.03036363636363637
14,0.7790909090909091,0.7970909090909091,0.018000000000000016
16,0.7701818181818182,0.7921818181818182,0.02200000000000002
18,0.7794545454545454,0.7898181818181819,0.010363636363636464
